Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_372:0000001,FRFRESHWT_FRFRESHWT5M_g,,Agronomic,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000005,CALYXSZ_CALYXSZM_1-3CALYXSZscale,,Agronomic,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000009,FRSHAPE_FRSHAPERBM_1-9FRSHAPERBscale,,Morphological,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000013,CALYXPOS_CALYXPOS1-5M_1-5CALYXPOSscale,,Germplasm characterization,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000017,ACHENEVIABLE_ACHVIAM_%,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000021,FRFIRM_FRFIRMM_1-9FRFIRMscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000025,SKINTOUGH_SKINTOUGHM_1-9SKINTOUGHscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000029,SKINCOL_SKINCOL1-9M_1-9SKINCOLscale,,Germplasm characterization,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000033,SKINGLOSS_SKINGLOSSM_1-9GLOSSscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000037,FRFLCOL_FRFLCOLM_1-9FRFLCOLscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000041,FRFLCOLDEPTH_FRCOLDEPTHM_%,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000044,FRFLAV_FRFLAVM_1-9FRFLAVscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000048,CALYXREMOVE_CALYXREMM_1-9CALYXREMPscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000052,ACHENEPOS_ACHENEPOS1-3M_1-3ACHENEPOSscale,,Quality,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000056,ACHENECOL_ACHENECOL1-9M_1-9ACHENECOLscale,,Germplasm characterization,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000060,FRYIELD_FRYIELD1-9M_1-9FRYIELDscale,,Agronomic,Harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000064,DRIPLOSS_DRIPLOSSM_g,,Quality,Post-harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000067,FRpH_pHM_pH,,Quality,Post-harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000071,SSC_SSCM_SSCg/100g,,Quality,Post-harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000075,TITA_TITAM_TITAMeq/100gCA,,Quality,Post-harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000079,ATCYN_ATCYNP3GM_ATCYNmg/L_Pg-3-glucEq,,Quality,Post-harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000083,BEARINGTYPE_BEARINGRBM_count,,Germplasm characterization,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000087,TREXPOS_TREXPOS0-1M_0-1TREXPOSscale,,Germplasm characterization,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000091,PEDUNCLEN_PEDUNCLENM_1-5PEDUNCLENscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000095,STAMENPRES_STAMENPRES0-1M_0-1STAMPRESscale,,Germplasm characterization,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000099,PLANTVIGOR_PLANTVIGORM_1-9PLANTVIGORscale,,Agronomic,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000103,RUNNERNUM_RUNNERNUM1-9M_1-9RUNNERNUMscale,,Germplasm characterization,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000107,SPOAP_SPOAPM_1-9SUSCEPscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000111,PPMF_PPMFM_0-1PMFscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000115,SMYFR_SMYFRM_1-9SUSCEPscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000119,SDE_SDEM_1-9SUSCEPscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000123,SPO_SPOM_1-9SUSCEPscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000126,SVD_SVD1-5M_1-5SUSCEPscale,,Selection in breeding,Plant development,Recommended,,UC Davis,"Feldmann, et al.",20-06-2024,EN,Strawberry
CO_372:0000127,RVD_RVD1-3M_1-3RESISTscale,,Selection in breeding,Plant development,Recommended,,Oregon State,"Vining, et al.",20-06-2024,EN,Strawberry
CO_372:0000128,RVD_RVD%_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000129,TREXPOS_TREXPOS1-5M_1-5TREXPOUPOVscale,,Germplasm characterization,Plant development,Recommended,,UPOV,UPOV,20-06-2024,EN,Strawberry
CO_372:0000130,TITA_TITA0.5M_TITAMeq/100gCA,,Quality,Post-harvest,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000131,RUNNERNUM_RUNNERNUM1-7M_1-7RUNNERNUMscale,,Germplasm characterization,Plant development,Recommended,,CPBR,CPBR,20-06-2024,EN,Strawberry
CO_372:0000132,STAMENPRES_STAMENPRES1-9M_1-9STAMPRESscale,,Germplasm characterization,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000133,SKINCOL_SKINCOL1-10M_1-10SKINCOLUPOVscale,,Germplasm characterization,Harvest,Recommended,,UPOV,UPOV,20-06-2024,EN,Strawberry
CO_372:0000134,RPP_RPPM_Rf,NEM-RF_RPPM_Rf,Selection in breeding,Plant development,Recommended,Pinkerton & Finn. 2005. HortSci 40(1): 33-38,USDA,Pinkerton & Finn,20-06-2024,EN,Strawberry
CO_372:0000135,RPOAP_RPOAP1-9M_1-9RESISTscale,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000136,RPOAP_RPOAP%M_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000137,PLANTHT_PLANTHTM_cm,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000138,PLANTHABIT_PLHABM_1-9PLHABscale,,Germplasm characterization,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000139,PLANTHABIT_PLHABM_1-3PLHABscale,,Germplasm characterization,Plant development,Recommended,,CPBR,CPBR,20-06-2024,EN,Strawberry
CO_372:0000140,SPF_SPFM_0-5SUSCEPscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000141,RPF_RPF0-5M_0-5RESISTscale,,Selection in breeding,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000142,RPF_RPF%M_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000143,RPCRR_RPC%M_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000144,RPCCR_RPCCR1-8M_1-8RESISTscale,,Selection in breeding,Plant development,Recommended,,NCRI,"Eikemo, et al.",20-06-2024,EN,Strawberry
CO_372:0000145,RPCCR_RPCCR1-5M_1-5RESISTscale,,Selection in breeding,Plant development,Recommended,,UC Davis,"Jiménez, et al.",20-06-2024,EN,Strawberry
CO_372:0000146,RPCCR_RPCCR%M_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000147,RPO_RPOM_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000148,TotalPhenolics_F-CM_mg/L_GallicAcidEQ,,Quality,Post-harvest,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000149,PEDICLEBREAK_PEDBRKM_1-7PEDBRKscale,,Selection in breeding,Harvest,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000150,PEDICELLEN_PEDICELLENM_cm,,Germplasm characterization,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000151,RMYFR_RMYFRM_%,,Selection in breeding,Plant development,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000152,RMH_RMHM_1-5RMHscale,,Selection in breeding,Plant development,Recommended,,USDA,Pinkerton & Finn,20-06-2024,EN,Strawberry
CO_372:0000153,RMaPh_ RMaPh%M_ %,,Selection in breeding,Plant development,Recommended,,USDA,"Zurn, et al.",20-06-2024,EN,Strawberry
CO_372:0000154,RMaPh_ RMaPhM_1-5RESISTscale,,Selection in breeding,Plant development,Recommended,,UC Davis,"Knapp, et al.",20-06-2024,EN,Strawberry
CO_372:0000155,HARVDATE_HARVDATEM_date,,Phenology studies,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000156,ECOGDDREQH_GDDHM_days,,Phenology studies,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000157,ECOGDDREQ_GDDFM_days,,Phenology studies,Plant development,Recommended,,GDR,RosBREED,20-06-2024,EN,Strawberry
CO_372:0000158,RFOF_RFOF1-5M_1-5RESISTscale,,Selection in breeding,Plant development,Recommended,,UC Davis,"Pincot, et al.",20-06-2024,EN,Strawberry
CO_372:0000159,RFOF_RFOF%M_%,,Selection in breeding,Plant development,Recommended,,USDA,"Zurn, et al.",20-06-2024,EN,Strawberry
CO_372:0000160,FRYIELD_FRYIELDTWM_g,,Agronomic,Harvest,Recommended,,USDA,USDA,20-06-2024,EN,Strawberry
CO_372:0000161,FRYIELD_FRYIELD1-9OM_1-9FRYIELDOscale,,Agronomic,Harvest,Recommended,,UPOV,UPOV,20-06-2024,EN,Strawberry
